volume,day,type,tx_count,avg_volume,min_volume,max_volume
,22/02/21,Margin Trade,10,,,
33064.01,22/02/21,Spot Trade,66,500.969835135455,33064.00911894,33064.00911894
,22/02/21,UnLend,2,,,
,21/02/21,Close Borrow,3,,,
,21/02/21,Close Margin Trade,4,,,
,21/02/21,Increase Margin,1,,,
,21/02/21,Margin Trade,3,,,
1714.58,21/02/21,Spot Trade,15,114.305298287333,1714.57947431,1714.57947431
,20/02/21,Borrow,1,,,
,20/02/21,Close Borrow,4,,,
,20/02/21,Increase Margin,1,,,
390.54,20/02/21,Margin Trade,3,130.18018088,390.54054264,390.54054264
1535.44,20/02/21,Spot Trade,11,139.585182385455,1535.43700624,1535.43700624
,20/02/21,UnLend,1,,,
,19/02/21,Lend,2,,,
,19/02/21,Margin Trade,2,,,
1898.22,19/02/21,Spot Trade,13,146.016652433846,1898.21648164,1898.21648164
,19/02/21,UnLend,1,,,
517.84,18/02/21,Close Margin Trade,5,103.568726756,517.84363378,517.84363378
,18/02/21,Increase Margin,2,,,
,18/02/21,Lend,2,,,
,18/02/21,Margin Trade,3,,,
8866.01,18/02/21,Spot Trade,9,985.111798161111,8866.00618345,8866.00618345
,18/02/21,UnLend,2,,,
,17/02/21,Close Margin Trade,4,,,
,17/02/21,Increase Margin,1,,,
,17/02/21,Lend,1,,,
,17/02/21,Margin Trade,3,,,
6703.52,17/02/21,Spot Trade,16,418.97012511125,6703.52200178,6703.52200178
,17/02/21,UnLend,3,,,
,16/02/21,Close Margin Trade,2,,,
,16/02/21,Margin Trade,3,,,
5940.15,16/02/21,Spot Trade,10,594.014578398,5940.14578398,5940.14578398
11764.24,15/02/21,Close Margin Trade,1,11764.23555557,11764.23555557,11764.23555557
11810.3,15/02/21,Spot Trade,5,2362.060411556,11810.30205778,11810.30205778
,15/02/21,UnLend,1,,,
,14/02/21,Close Margin Trade,5,,,
,14/02/21,Increase Margin,1,,,
,14/02/21,Lend,2,,,
11764.24,14/02/21,Margin Trade,7,1680.60507936714,11764.23555557,11764.23555557
3429.87,14/02/21,Spot Trade,17,201.757076528235,3429.87030098,3429.87030098
,14/02/21,UnLend,1,,,
,13/02/21,Borrow,5,,,
,13/02/21,Close Borrow,2,,,
,13/02/21,Close Margin Trade,4,,,
,13/02/21,Lend,2,,,
758.07,13/02/21,Margin Trade,4,189.5179199825,758.07167993,758.07167993
663.39,13/02/21,Spot Trade,12,55.2823955408333,663.38874649,663.38874649
,13/02/21,UnLend,2,,,
,12/02/21,Close Margin Trade,3,,,
,12/02/21,Increase Margin,3,,,
,12/02/21,Lend,2,,,
,12/02/21,Margin Trade,5,,,
6365.49,12/02/21,Spot Trade,11,578.680919695455,6365.49011665,6365.49011665
236.53,12/02/21,UnLend,4,59.1334920425,236.53396817,236.53396817
,11/02/21,Close Margin Trade,1,,,
,11/02/21,Margin Trade,8,,,
